R7896L7896,1407,2024-07-25 12:18:49,21290043
R7896L7896,1407,2024-07-25 12:21:56,21180043
R7896L7896,3407,2024-07-25 12:22:57,77590043
R7896L7896,3407,2024-07-25 12:24:54,28240043
R7896L7896,3407,2024-07-25 12:26:19,C5EE0043
R7896L7896,1407,2024-07-25 12:26:32,440D0043
R7896L7896,3407,2024-07-25 12:26:44,9FF10043
R7896L7896,3407,2024-07-25 12:26:56,D90A0043
R7896L7896,3407,2024-07-25 12:27:09,C8D30043
R7896L7896,1407,2024-07-25 12:27:50,C9C20043
R7896L7896,1407,2024-07-25 12:28:02,0F780043
R7896L7896,1407,2024-07-25 12:28:14,86720043
R7896L7896,1407,2024-07-25 12:28:26,39250043
R7896L7896,1407,2024-07-25 12:28:39,AC330043
R7896L7896,1407,2024-07-25 12:28:51,B5DB0043
R7896L7896,3407,2024-07-25 12:29:03,50EE0043
R7896L7896,3407,2024-07-25 12:29:16,DDE00043
R7896L7896,3407,2024-07-25 12:29:28,C90C0043
R7896L7896,1b12,2024-07-25 12:29:40,0BEF0043
R7896L7896,1b12,2024-07-25 12:29:53,8EE90043
R7896L7896,1407,2024-07-25 12:30:05,6D440043
R7896L7896,1407,2024-07-25 12:34:44,B0AF0043
R7896L7896,1407,2024-07-25 12:34:56,F6540043
R7896L7896,1407,2024-07-25 12:35:09,E78D0043
R7896L7896,3401,2024-07-25 12:35:21,11910043
R7896L7896,1401,2024-07-25 12:35:33,4F6B0043
R7896L7896,1401,2024-07-25 12:35:46,046C0043
R7896L7896,1401,2024-07-25 12:36:26,C3260043
R7896L7896,1401,2024-07-25 12:36:38,95CD0043
R7896L7896,1401,2024-07-25 12:36:51,4FD80043
